Adjuvante	Taxa	Bloco	Sub	tresA	seteA	tresB	seteB	
controle	NA	1	1	0	0	0	0	
controle	NA	1	2	2	0	1	2	
controle	NA	1	3	3	0	0	0	
controle	NA	1	4	2	0	0	0	
controle	NA	1	5	2	0	3	4	
controle	NA	1	6	3	0	0	1	
controle	NA	1	7	0	2	0	2	
controle	NA	1	8	0	3	0	1	
controle	NA	1	9	0	1	2	3	
controle	NA	1	10	0	6	0	0	
controle	NA	1	11	1	4	1	2	
controle	NA	1	12	1	2	0	0	
controle	NA	1	13	2	0	0	0	
controle	NA	1	14	0	0	0	1	
controle	NA	1	15	1	0	0	0	
controle	NA	1	16	3	0	4	5	
controle	NA	1	17	1	0	3	4	
controle	NA	1	18	0	0	0	0	
controle	NA	1	19	0	0	3	4	
controle	NA	1	20	0	1	0	0	
controle	NA	1	21	0	2	1	2	
controle	NA	1	22	0	0	0	0	
controle	NA	1	23	1	0	0	0	
controle	NA	1	24	0	0	0	0	
controle	NA	1	25	0	0	0	0	
controle	NA	2	1	0	0	0	0	
controle	NA	2	2	0	3	0	0	
controle	NA	2	3	1	0	0	0	
controle	NA	2	4	0	0	1	2	
controle	NA	2	5	0	0	0	0	
controle	NA	2	6	0	2	0	1	
controle	NA	2	7	2	1	0	1	
controle	NA	2	8	1	4	0	0	
controle	NA	2	9	0	1	0	0	
controle	NA	2	10	0	0	0	0	
controle	NA	2	11	0	0	0	0	
controle	NA	2	12	3	4	2	3	
controle	NA	2	13	1	5	1	2	
controle	NA	2	14	0	3	5	6	
controle	NA	2	15	0	2	0	1	
controle	NA	2	16	1	2	0	2	
controle	NA	2	17	1	1	0	0	
controle	NA	2	18	0	3	0	0	
controle	NA	2	19	0	0	0	1	
controle	NA	2	20	0	0	0	0	
controle	NA	2	21	1	0	3	4	
controle	NA	2	22	0	1	6	7	
controle	NA	2	23	0	0	5	6	
controle	NA	2	24	0	0	2	3	
controle	NA	2	25	0	0	0	0	
controle	NA	3	1	0	0	0	0	
controle	NA	3	2	0	0	0	0	
controle	NA	3	3	0	1	4	5	
controle	NA	3	4	0	2	1	2	
controle	NA	3	5	1	0	0	0	
controle	NA	3	6	1	0	3	4	
controle	NA	3	7	0	5	2	3	
controle	NA	3	8	3	0	0	0	
controle	NA	3	9	2	0	3	1	
controle	NA	3	10	0	2	0	4	
controle	NA	3	11	1	3	0	0	
controle	NA	3	12	0	0	0	1	
controle	NA	3	13	0	5	3	0	
controle	NA	3	14	0	0	0	1	
controle	NA	3	15	0	0	0	2	
controle	NA	3	16	1	3	0	1	
controle	NA	3	17	2	0	0	1	
controle	NA	3	18	0	0	0	0	
controle	NA	3	19	0	3	0	0	
controle	NA	3	20	2	2	0	0	
controle	NA	3	21	0	1	0	0	
controle	NA	3	22	0	1	0	0	
controle	NA	3	23	4	2	4	5	
controle	NA	3	24	0	0	0	0	
controle	NA	3	25	1	0	0	0	
controle	NA	4	1	0	2	4	5	
controle	NA	4	2	0	0	0	0	
controle	NA	4	3	0	0	3	4	
controle	NA	4	4	1	2	0	0	
controle	NA	4	5	1	0	7	8	
controle	NA	4	6	1	1	0	0	
controle	NA	4	7	0	0	3	4	
controle	NA	4	8	0	0	0	0	
controle	NA	4	9	1	0	0	1	
controle	NA	4	10	0	0	2	3	
controle	NA	4	11	2	3	2	3	
controle	NA	4	12	0	0	0	0	
controle	NA	4	13	0	0	0	1	
controle	NA	4	14	0	0	0	2	
controle	NA	4	15	2	0	0	2	
controle	NA	4	16	9	4	0	1	
controle	NA	4	17	3	0	0	0	
controle	NA	4	18	0	3	0	0	
controle	NA	4	19	0	5	1	2	
controle	NA	4	20	4	0	5	6	
controle	NA	4	21	0	1	0	0	
controle	NA	4	22	2	0	0	1	
controle	NA	4	23	3	0	0	1	
controle	NA	4	24	0	0	0	0	
controle	NA	4	25	0	0	3	4	
Aureo	10	1	1	0	0	0	0	
Aureo	10	1	2	3	0	0	0	
Aureo	10	1	3	2	2	0	0	
Aureo	10	1	4	0	3	0	1	
Aureo	10	1	5	1	2	3	4	
Aureo	10	1	6	0	1	0	0	
Aureo	10	1	7	0	0	3	4	
Aureo	10	1	8	0	1	1	2	
Aureo	10	1	9	0	0	0	0	
Aureo	10	1	10	0	0	0	0	
Aureo	10	1	11	0	0	0	1	
Aureo	10	1	12	0	0	3	4	
Aureo	10	1	13	0	0	0	0	
Aureo	10	1	14	0	0	0	1	
Aureo	10	1	15	2	3	0	1	
Aureo	10	1	16	0	0	0	0	
Aureo	10	1	17	0	0	0	0	
Aureo	10	1	18	0	0	0	0	
Aureo	10	1	19	0	0	0	0	
Aureo	10	1	20	1	1	0	1	
Aureo	10	1	21	0	0	0	0	
Aureo	10	1	22	2	2	1	2	
Aureo	10	1	23	1	0	3	4	
Aureo	10	1	24	0	3	4	5	
Aureo	10	1	25	0	0	0	0	
Aureo	10	2	1	0	0	0	0	
Aureo	10	2	2	0	0	0	0	
Aureo	10	2	3	0	0	0	1	
Aureo	10	2	4	0	0	0	2	
Aureo	10	2	5	0	0	0	1	
Aureo	10	2	6	1	0	4	5	
Aureo	10	2	7	2	0	0	0	
Aureo	10	2	8	0	5	3	4	
Aureo	10	2	9	0	0	0	0	
Aureo	10	2	10	0	0	0	0	
Aureo	10	2	11	0	0	0	0	
Aureo	10	2	12	1	0	0	0	
Aureo	10	2	13	2	0	0	0	
Aureo	10	2	14	0	6	0	0	
Aureo	10	2	15	0	7	5	6	
Aureo	10	2	16	2	0	0	2	
Aureo	10	2	17	0	0	0	1	
Aureo	10	2	18	0	0	0	0	
Aureo	10	2	19	1	0	0	0	
Aureo	10	2	20	0	0	0	0	
Aureo	10	2	21	4	0	0	0	
Aureo	10	2	22	0	0	0	0	
Aureo	10	2	23	0	0	0	0	
Aureo	10	2	24	0	0	0	0	
Aureo	10	2	25	0	0	0	0	
Aureo	10	3	1	0	0	5	6	
Aureo	10	3	2	0	0	0	0	
Aureo	10	3	3	0	0	5	6	
Aureo	10	3	4	0	0	0	0	
Aureo	10	3	5	0	3	3	4	
Aureo	10	3	6	0	0	0	0	
Aureo	10	3	7	0	0	0	1	
Aureo	10	3	8	0	0	4	1	
Aureo	10	3	9	0	0	0	2	
Aureo	10	3	10	0	0	0	0	
Aureo	10	3	11	0	0	0	0	
Aureo	10	3	12	0	0	3	4	
Aureo	10	3	13	0	0	0	0	
Aureo	10	3	14	7	0	0	0	
Aureo	10	3	15	7	0	0	0	
Aureo	10	3	16	0	0	0	0	
Aureo	10	3	17	4	0	0	0	
Aureo	10	3	18	0	0	0	0	
Aureo	10	3	19	0	0	0	0	
Aureo	10	3	20	0	0	0	0	
Aureo	10	3	21	0	0	0	0	
Aureo	10	3	22	0	0	0	0	
Aureo	10	3	23	0	0	0	0	
Aureo	10	3	24	0	0	0	0	
Aureo	10	3	25	0	0	0	0	
Aureo	10	4	1	3	0	0	0	
Aureo	10	4	2	0	2	0	0	
Aureo	10	4	3	3	2	0	0	
Aureo	10	4	4	0	0	0	0	
Aureo	10	4	5	0	3	0	0	
Aureo	10	4	6	0	4	0	0	
Aureo	10	4	7	0	0	0	0	
Aureo	10	4	8	0	2	0	0	
Aureo	10	4	9	0	0	4	5	
Aureo	10	4	10	0	0	0	0	
Aureo	10	4	11	0	5	3	4	
